# Energy [eV], Time, ID Gap [mm], M2 Pitch [deg], G Pitch [deg], I0 [A] (KE6000), Is [A] (KE6000_2), Is/I0
450.000, 1781958522.477656, 29.004, -3.0, -3.937429, 1.625447e-09, 1.583465e-10, 0.09741720277560571
450.100, 1781958523.2905, 29.0068, -3.0, -3.937231, 1.61644e-09, 1.57729e-10, 0.09757801093761599
450.200, 1781958524.554099, 29.0096, -3.0, -3.937032, 1.604977e-09, 1.562987e-10, 0.09738376313180812
450.300, 1781958525.82438, 29.0124, -3.0, -3.936832, 1.592346e-09, 1.54902e-10, 0.09727910893737919
450.400, 1781958527.006919, 29.0152, -3.0, -3.936634, 1.575208e-09, 1.53322e-10, 0.09733444726029833
450.500, 1781958528.264528, 29.018, -3.0, -3.936435, 1.564139e-09, 1.524074e-10, 0.09743852688284096
450.600, 1781958529.339947, 29.0208, -3.0, -3.936237, 1.556057e-09, 1.512519e-10, 0.09720203051687695
450.700, 1781958530.505702, 29.0236, -3.0, -3.936039, 1.550063e-09, 1.508334e-10, 0.0973079158718065
450.800, 1781958531.694885, 29.0265, -3.0, -3.93584, 1.550831e-09, 1.507016e-10, 0.09717474051008781
450.900, 1781958532.819713, 29.0293, -3.0, -3.935642, 1.545561e-09, 1.504207e-10, 0.09732433724712256
451.000, 1781958533.954158, 29.0321, -3.0, -3.935444, 1.545419e-09, 1.503542e-10, 0.09729024944044301
451.100, 1781958535.180074, 29.0349, -3.0, -3.935245, 1.541609e-09, 1.498119e-10, 0.09717892150344219
451.200, 1781958536.423602, 29.0377, -3.0, -3.935049, 1.544964e-09, 1.501228e-10, 0.09716912497637485
451.300, 1781958537.678783, 29.0405, -3.0, -3.93485, 1.544035e-09, 1.5001e-10, 0.09715453341407417
451.400, 1781958538.91666, 29.0433, -3.0, -3.934652, 1.543045e-09, 1.499182e-10, 0.09715737389382682
451.500, 1781958540.176823, 29.0461, -3.0, -3.934456, 1.543564e-09, 1.499327e-10, 0.09713410004379475
451.600, 1781958541.405687, 29.0489, -3.0, -3.934257, 1.544118e-09, 1.507871e-10, 0.09765257577464935
451.700, 1781958542.631869, 29.0517, -3.0, -3.934059, 1.541505e-09, 1.49577e-10, 0.09703309428123813
451.800, 1781958543.88255, 29.0545, -3.0, -3.933862, 1.543924e-09, 1.496845e-10, 0.09695069187343419
451.900, 1781958545.054965, 29.0573, -3.0, -3.933664, 1.546169e-09, 1.499769e-10, 0.09699903438757342
452.000, 1781958546.142696, 29.0601, -3.0, -3.933467, 1.544396e-09, 1.497942e-10, 0.0969920927016128
452.100, 1781958547.296855, 29.0629, -3.0, -3.933271, 1.544813e-09, 1.496978e-10, 0.0969035087094684
452.200, 1781958548.419973, 29.0657, -3.0, -3.933073, 1.546696e-09, 1.508349e-10, 0.09752071512436833
452.300, 1781958549.501042, 29.0685, -3.0, -3.932876, 1.546693e-09, 1.501125e-10, 0.0970538432643065
452.400, 1781958550.766454, 29.0713, -3.0, -3.93268, 1.546069e-09, 1.504728e-10, 0.09732605724582798
452.500, 1781958552.006439, 29.0741, -3.0, -3.932483, 1.549803e-09, 1.502813e-10, 0.09696800173957593
452.600, 1781958553.188334, 29.0769, -3.0, -3.932286, 1.550288e-09, 1.504555e-10, 0.0970500319940553
